insert_time,delete_time
0.002139,0.002189
0.002233,0.002181
0.002284,0.002179
0.002369,0.002507
0.002273,0.002201
0.002393,0.002555
0.002183,0.002216
0.002203,0.002266
0.002382,0.002318
0.002426,0.002284
0.002282,0.002336
0.002239,0.002229
0.002229,0.002244
0.002237,0.002281
0.002403,0.002630
0.002221,0.002255
0.002434,0.002318
0.002212,0.002326
0.002260,0.002336
0.002335,0.002426
0.002245,0.002360
0.002532,0.003628
0.002733,0.002605
0.002283,0.002553
0.002523,0.002494
0.002337,0.002389
0.002301,0.002297
0.002344,0.002366
0.002518,0.002701
0.002343,0.002352
0.002659,0.002400
0.002455,0.002447
0.003071,0.002371
0.002847,0.002473
0.002490,0.003127
0.002349,0.002332
0.002283,0.002431
0.003070,0.003272
0.002551,0.002552
0.002358,0.002362
0.002377,0.002562
0.002432,0.002469
0.002632,0.002484
0.002384,0.002580
0.002575,0.002570
0.002336,0.002424
0.002591,0.002881
0.002660,0.002417
0.002386,0.002451
0.002393,0.002431
0.002675,0.002814
0.002403,0.002432
0.002646,0.002486
0.002762,0.002686
0.002743,0.002534
0.002423,0.002538
0.002384,0.002484
0.002517,0.002492
0.002496,0.002532
0.002482,0.002883
0.002578,0.002505
0.002605,0.002651
0.002688,0.002814
0.002432,0.002568
0.002916,0.002711
0.002447,0.002590
0.002939,0.003735
0.003356,0.002986
0.002557,0.002836
0.002654,0.002662
0.002439,0.002503
0.002600,0.002562
0.002685,0.002574
0.002783,0.002967
0.002503,0.002852
0.002737,0.002888
0.002580,0.002553
0.002521,0.002668
0.002550,0.002552
0.002533,0.002558
0.002580,0.002704
0.002733,0.002970
0.002499,0.002570
0.002681,0.002561
0.002892,0.002825
0.002717,0.002874
0.002838,0.002582
0.002738,0.002906
0.002661,0.002949
0.003030,0.003220
0.003022,0.002714
0.003029,0.003027
0.002885,0.002632
0.002615,0.002654
0.002589,0.002670
0.002734,0.002765
0.002671,0.002647
0.002618,0.002668
0.002911,0.002642
0.003052,0.003094
0.003158,0.003302
0.002941,0.002922
0.003073,0.003310
0.003427,0.003640
0.003155,0.003296
0.003417,0.003305
0.003489,0.003530
0.002659,0.002765
0.002984,0.003276
0.002724,0.002875
0.003469,0.002871
0.002973,0.003404
0.002654,0.002842
0.002975,0.002792
0.002715,0.002824
0.002691,0.003227
0.003075,0.002948
0.003020,0.002825
0.002749,0.002761
0.002797,0.002776
0.003236,0.002853
0.003015,0.003063
0.003148,0.002821
0.004030,0.004150
0.002823,0.002796
0.003087,0.003227
0.002770,0.002852
0.002964,0.003147
0.003096,0.003505
0.002788,0.002929
0.003700,0.003502
0.003261,0.002859
0.002972,0.003128
0.004818,0.003037
0.002873,0.002817
0.003001,0.002919
0.003141,0.002915
0.003177,0.003395
0.002890,0.003201
0.002899,0.002864
0.002940,0.002915
0.002825,0.002936
0.003309,0.003109
0.002970,0.003571
0.002806,0.003006
0.002893,0.002975
0.002821,0.003050
0.002935,0.003056
0.003111,0.002958
0.002890,0.002882
0.002979,0.003005
0.002925,0.003101
0.002887,0.003029
0.002836,0.002962
0.003004,0.002984
0.002988,0.003016
0.003262,0.003029
0.002924,0.002982
0.002961,0.002979
0.002876,0.003008
0.005124,0.007039
0.002988,0.003198
0.003106,0.002970
0.003246,0.003137
0.003259,0.003300
0.002966,0.003056
0.002940,0.003096
0.003260,0.003588
0.002960,0.003016
0.003193,0.003063
0.002994,0.003094
0.003186,0.003216
0.003442,0.003041
0.003006,0.003142
0.003061,0.003132
0.003030,0.003064
0.003527,0.003097
0.003099,0.003098
0.002970,0.003248
0.003282,0.003115
0.003357,0.003068
0.003046,0.003114
0.003166,0.003164
0.003213,0.003095
0.003074,0.003146
0.003022,0.003145
0.002999,0.003230
0.003113,0.003209
0.003181,0.003165
0.003078,0.003136
0.003058,0.003166
0.003135,0.003212
0.003089,0.003213
0.003123,0.003275
0.003101,0.003175
0.003197,0.003248
0.003217,0.003330
0.003283,0.003211
0.003282,0.003309
0.003248,0.003201
0.003114,0.003263
0.003239,0.003375
0.003234,0.003208
0.003200,0.003290
0.003117,0.003312
0.003358,0.003351
0.003240,0.003318
0.003886,0.003840
0.003134,0.003496
0.003316,0.003486
0.003607,0.003410
0.003276,0.003331
0.003357,0.003382
0.003449,0.003450
0.003628,0.003505
0.003823,0.003694
0.003383,0.003264
0.003596,0.003287
0.003685,0.003862
0.003292,0.003351
0.003280,0.003319
0.003646,0.003342
0.003254,0.003349
0.003576,0.003541
0.003352,0.003359
0.003676,0.005383
0.003342,0.003409
0.003414,0.003494
0.003333,0.003352
0.003306,0.003530
0.003304,0.003424
0.003764,0.003541
0.003819,0.003550
0.003617,0.003447
0.003497,0.003426
0.003761,0.003722
0.003752,0.003372
0.003509,0.003528
0.003718,0.003452
0.003352,0.003439
0.003391,0.003401
0.003382,0.003409
0.003718,0.003544
0.003424,0.003454
0.003386,0.003677
0.003428,0.003391
0.003413,0.003426
0.003474,0.003532
0.003409,0.003578
0.003430,0.003466
0.003396,0.003607
0.003404,0.003952
0.003361,0.003653
0.003759,0.003540
0.003453,0.003551
0.003965,0.003642
0.003403,0.003484
0.003898,0.003781
0.003503,0.003679
0.003563,0.003563
0.003408,0.003513
0.003510,0.003639
0.003852,0.003610
0.003904,0.004001
0.003483,0.003552
0.003959,0.004279
0.003511,0.003526
0.003783,0.003547
0.004598,0.004514
0.003478,0.004218
0.003977,0.003620
0.005078,0.004231
0.003962,0.004980
0.004774,0.003804
