insert_time,delete_time
0.002192,0.000027
0.002290,0.000013
0.002359,0.000012
0.002175,0.000013
0.002179,0.000012
0.002378,0.000021
0.002262,0.000012
0.002265,0.000013
0.002185,0.000025
0.002413,0.000012
0.002265,0.000013
0.002368,0.000012
0.002314,0.000013
0.002385,0.000012
0.002442,0.000012
0.002443,0.000012
0.002335,0.000012
0.002446,0.000013
0.002270,0.000012
0.002349,0.000012
0.002371,0.000013
0.002934,0.000013
0.002840,0.000017
0.002530,0.000013
0.002367,0.000013
0.002379,0.000013
0.002482,0.000017
0.002296,0.000012
0.002513,0.000013
0.002523,0.000013
0.002731,0.000014
0.002785,0.000013
0.002405,0.000017
0.002304,0.000013
0.004118,0.000031
0.002487,0.000013
0.002366,0.000013
0.002563,0.000013
0.002358,0.000012
0.002567,0.000014
0.002344,0.000013
0.002591,0.000013
0.002476,0.000013
0.002460,0.000013
0.002491,0.000013
0.002489,0.000013
0.002469,0.000013
0.002436,0.000013
0.002563,0.000017
0.002420,0.000023
0.002425,0.000013
0.002357,0.000013
0.002662,0.000013
0.002667,0.000013
0.002482,0.000013
0.002616,0.000013
0.002534,0.000013
0.002707,0.000013
0.002457,0.000013
0.002774,0.000022
0.002533,0.000013
0.002646,0.000013
0.002631,0.000013
0.002422,0.000013
0.002701,0.000013
0.002522,0.000013
0.002812,0.000017
0.002690,0.000016
0.002696,0.000021
0.002749,0.000013
0.002751,0.000013
0.002890,0.000013
0.002470,0.000013
0.002573,0.000013
0.002568,0.000013
0.002688,0.000013
0.002782,0.000013
0.002758,0.000021
0.002793,0.000013
0.002778,0.000014
0.002584,0.000014
0.002969,0.000028
0.002799,0.000013
0.002698,0.000014
0.002794,0.000015
0.002677,0.000013
0.002604,0.000014
0.002863,0.000014
0.003123,0.000014
0.002830,0.000014
0.002588,0.000013
0.002590,0.000014
0.002631,0.000013
0.002704,0.000014
0.002820,0.000014
0.002595,0.000013
0.002623,0.000013
0.002664,0.000013
0.003451,0.000013
0.002867,0.000014
0.002842,0.000014
0.003144,0.000034
0.003013,0.000015
0.003187,0.000014
0.003183,0.000019
0.003564,0.000020
0.003463,0.000020
0.002771,0.000016
0.002910,0.000014
0.002844,0.000013
0.002764,0.000014
0.003080,0.000013
0.002989,0.000013
0.002799,0.000014
0.002821,0.000014
0.002868,0.000014
0.003001,0.000028
0.002839,0.000014
0.002803,0.000014
0.003036,0.000014
0.003049,0.000014
0.003249,0.000014
0.002920,0.000014
0.002797,0.000014
0.002794,0.000014
0.003094,0.000014
0.003034,0.000014
0.002772,0.000014
0.003257,0.000014
0.003107,0.000014
0.004092,0.000015
0.002792,0.000013
0.003051,0.000014
0.003281,0.000014
0.002863,0.000014
0.002883,0.000014
0.002869,0.000014
0.002897,0.000018
0.002876,0.000015
0.002819,0.000014
0.002787,0.000014
0.002873,0.000014
0.002971,0.000014
0.003113,0.000014
0.002910,0.000017
0.003203,0.000014
0.002887,0.000014
0.002990,0.000024
0.002907,0.000015
0.002956,0.000014
0.003273,0.000014
0.003273,0.000015
0.002915,0.000014
0.002850,0.000014
0.002932,0.000014
0.002946,0.000014
0.002951,0.000014
0.003259,0.000023
0.002950,0.000014
0.003011,0.000014
0.003325,0.000015
0.003200,0.000014
0.002995,0.000014
0.003031,0.000015
0.003048,0.000014
0.003155,0.000014
0.003395,0.000014
0.003215,0.000014
0.002949,0.000014
0.003065,0.000015
0.003267,0.000014
0.003021,0.000014
0.003156,0.000014
0.003019,0.000014
0.002977,0.000015
0.003402,0.000014
0.003082,0.000014
0.003036,0.000015
0.004539,0.000014
0.003102,0.000015
0.003360,0.000014
0.003036,0.000015
0.003133,0.000015
0.003433,0.000014
0.003240,0.000015
0.003119,0.000020
0.003059,0.000014
0.003379,0.000015
0.003113,0.000015
0.003115,0.000014
0.003060,0.000014
0.003325,0.000031
0.003256,0.000014
0.003523,0.000015
0.003358,0.000015
0.003104,0.000015
0.003106,0.000015
0.003427,0.000016
0.003060,0.000015
0.003164,0.000015
0.003209,0.000014
0.003207,0.000014
0.003144,0.000024
0.003399,0.000015
0.003221,0.000014
0.004672,0.000015
0.003558,0.000014
0.003775,0.000015
0.003127,0.000014
0.003293,0.000034
0.003240,0.000015
0.003201,0.000014
0.003380,0.000016
0.003443,0.000015
0.003284,0.000015
0.004563,0.000014
0.003244,0.000015
0.003304,0.000015
0.003372,0.000015
0.003226,0.000015
0.003250,0.000015
0.003268,0.000024
0.003232,0.000015
0.003400,0.000015
0.003294,0.000014
0.003451,0.000015
0.003318,0.000014
0.003278,0.000015
0.003705,0.000015
0.003310,0.000015
0.003357,0.000015
0.003434,0.000045
0.003634,0.000015
0.003661,0.000015
0.003580,0.000014
0.003874,0.000015
0.003381,0.000015
0.003683,0.000015
0.003380,0.000015
0.003649,0.000015
0.003446,0.000015
0.003825,0.000015
0.003820,0.000015
0.003389,0.000015
0.003385,0.000015
0.003362,0.000015
0.003800,0.000015
0.003565,0.000015
0.003409,0.000015
0.003821,0.000015
0.003402,0.000015
0.003457,0.000015
0.003429,0.000015
0.003401,0.000015
0.003837,0.000015
0.003624,0.000016
0.003726,0.000015
0.006683,0.000015
0.003432,0.000016
0.003901,0.000015
0.003551,0.000015
0.003925,0.000015
0.003819,0.000016
0.003465,0.000016
0.003481,0.000015
0.003591,0.000015
0.003431,0.000016
0.003526,0.000016
0.004273,0.000015
0.003457,0.000016
0.003545,0.000016
0.004602,0.000039
0.003718,0.000019
0.003730,0.000016
0.003957,0.000015
0.003586,0.000016
0.003566,0.000015
0.003548,0.000015
0.003644,0.000016
0.003599,0.000015
0.003643,0.000025
0.003914,0.000015
0.003584,0.000016
0.003736,0.000015
0.003741,0.000016
0.003773,0.000016
0.003676,0.000015
0.003653,0.000015
0.003570,0.000017
0.003689,0.000015
0.003700,0.000016
0.003614,0.000016
0.004176,0.000016
0.003639,0.000016
0.003647,0.000016
0.003638,0.000016
0.003991,0.000016
0.003793,0.000015
0.003637,0.000016
0.003731,0.000015
0.003648,0.000016
0.004147,0.000016
0.003955,0.000015
0.003736,0.000016
0.003733,0.000015
0.003886,0.000016
0.003919,0.000016
0.003888,0.000016
0.004753,0.000016
0.003902,0.000016
0.003840,0.000016
0.003776,0.000016
0.003754,0.000016
0.003894,0.000016
0.003875,0.000017
0.003943,0.000020
0.003816,0.000016
0.004089,0.000016
0.003894,0.000016
0.003920,0.000016
0.004485,0.000017
0.003837,0.000017
0.003828,0.000017
0.003778,0.000015
0.004087,0.000016
0.003868,0.000016
0.004394,0.000016
0.004065,0.000016
0.003845,0.000016
0.004380,0.000017
0.003909,0.000017
0.004027,0.000016
0.004313,0.000032
0.004077,0.000016
0.003850,0.000016
0.004131,0.000017
0.004089,0.000016
0.003929,0.000016
0.004227,0.000016
0.003983,0.000016
0.003961,0.000016
0.003937,0.000017
0.004406,0.000016
0.004119,0.000016
0.003931,0.000016
0.003904,0.000016
0.004059,0.000016
0.004404,0.000032
0.004099,0.000016
0.004125,0.000017
0.004336,0.000017
0.004226,0.000017
0.004572,0.000017
0.004250,0.000017
0.004070,0.000016
0.004059,0.000016
0.004003,0.000017
0.004399,0.000016
0.004050,0.000016
0.004063,0.000016
0.004058,0.000017
0.004396,0.000016
0.004187,0.000017
0.004510,0.000016
0.004121,0.000016
0.004043,0.000016
0.003989,0.000016
0.004067,0.000016
0.004321,0.000017
0.004049,0.000017
0.004085,0.000016
0.004176,0.000016
0.004346,0.000016
0.004171,0.000017
0.004153,0.000017
0.004147,0.000017
0.004224,0.000017
0.004166,0.000016
0.004144,0.000017
0.004475,0.000017
0.004141,0.000017
0.004758,0.000017
0.004992,0.000017
0.004261,0.000016
0.004265,0.000016
0.004163,0.000017
0.004275,0.000017
0.004853,0.000017
0.004248,0.000018
0.004272,0.000017
0.004246,0.000017
0.004241,0.000017
0.004778,0.000017
0.004408,0.000028
0.004285,0.000016
0.004926,0.000018
0.004338,0.000017
0.004663,0.000016
0.004438,0.000042
0.004252,0.000016
0.004397,0.000016
0.004284,0.000017
0.004202,0.000017
0.004481,0.000017
0.004380,0.000019
0.004338,0.000018
